search_string,video_title,channel_name,url,status
Art of Problem Solving custom operations defined,Art of Problem Solving: Introduction to Operations,Art of Problem Solving,https://www.youtube.com/watch?v=YrZlulMfQVE,FOUND
Art of Problem Solving telescoping series,Art of Problem Solving: Telescoping Series and Products,Art of Problem Solving,https://www.youtube.com/watch?v=yb2xPzx9HOg,FOUND
Corbett Maths area compound shapes,Area of Compound Shapes,corbettmaths,https://www.youtube.com/watch?v=qiTmz3UtUiY,FOUND
Corbett Maths area on a grid,Area of a Shape on a Grid,corbettmaths,https://www.youtube.com/watch?v=p8gblx7QY24,FOUND
Corbett Maths dividing decimals,Division by Decimals - Corbettmaths,corbettmaths,https://www.youtube.com/watch?v=ziCjq2YrsE4,FOUND
Corbett Maths divisibility rules,Division - Corbettmaths,corbettmaths,https://www.youtube.com/watch?v=q3Jk6W4oDgw,FOUND
Corbett Maths number pyramids,Volume of a Pyramid,corbettmaths,https://www.youtube.com/watch?v=Tr1wXAWZuc8,FOUND
Corbett Maths ratio proportion,Given Two Ratios - Corbettmaths,corbettmaths,https://www.youtube.com/watch?v=SJhomYlGPZ8,FOUND
Corbett Maths symmetry,Line Symmetry - Corbettmaths,corbettmaths,https://www.youtube.com/watch?v=rNURPkUEvg0,FOUND
Eddie Woo area irregular shapes grid surround subtract,Calculating Irregular Areas (1 of 2: Composite Figures),Eddie Woo,https://www.youtube.com/watch?v=2Oj0qiuVSyc,FOUND
Eddie Woo geometric sequences introduction,Intro to Geometric Progressions,Eddie Woo,https://www.youtube.com/watch?v=FmJcBEN9L0U,FOUND
Eddie Woo last digit patterns powers cycles,What does an imaginary power mean?,Eddie Woo,https://www.youtube.com/watch?v=2mpZDhvgzrs,FOUND
Eddie Woo maximum regions lines dividing plane,Combining Regions (1 of 4: From Lines to Planes),Eddie Woo,https://www.youtube.com/watch?v=VOObcBQdJd4,FOUND
Eddie Woo simultaneous equations introduction,Intro to Simultaneous Equations (1 of 2: Understanding multiple solutions),Eddie Woo,https://www.youtube.com/watch?v=URAPBVkQodM,FOUND
Eddie Woo solving simple equations backtracking,Balancing & Backtracking: 2 Approaches for 1-Step Equations,Eddie Woo,https://www.youtube.com/watch?v=tMkMJoSxbC8,FOUND
Eddie Woo sum of cubes formula proof,Cubic Identities (3 of 3: Sum & difference of cubes),Eddie Woo,https://www.youtube.com/watch?v=7lv43uJKfZc,FOUND
Eddie Woo triangular numbers,The Triangle Inequalities (1 of 3: Sum of Complex Numbers),Eddie Woo,https://www.youtube.com/watch?v=8n3jLEh5uq0,FOUND
Khan Academy Fibonacci sequence,Exercise - Write a Fibonacci Function,Khan Academy,https://www.youtube.com/watch?v=Bdbc1ZC-vhw,FOUND
Khan Academy Sieve of Eratosthenes,Sieve of Eratosthenes | Journey into cryptography | Computer Science | Khan Academy,Khan Academy Labs,https://www.youtube.com/watch?v=klcIklsWzrY,FOUND
Khan Academy age word problems algebra,Age word problems 1 | Linear equations | Algebra I | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=bAUT_Pux73w,FOUND
Khan Academy area of composite figures,Area and Perimeter of Composite Figures,Khan Academy,https://www.youtube.com/watch?v=WlGuG_VZl5c,FOUND
Khan Academy coin word problems algebra,Exponential growth and decay word problems | Algebra II | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=m5Tf6vgoJtQ,FOUND
Khan Academy distributive property,Using the distributive property when multiplying,Khan Academy,https://www.youtube.com/watch?v=zRgnVbh6psI,FOUND
Khan Academy dividing decimals,Dividing decimals completely | Arithmetic operations | 5th grade | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=7JPIX3odZrY,FOUND
Khan Academy divisibility tests 2 3 4 5 6 9 10,"Divisibility tests for 2, 3, 4, 5, 6, 9, 10 | Factors and multiples | Pre-Algebra | Khan Academy",Khan Academy,https://www.youtube.com/watch?v=Df9h5t64NlQ,FOUND
Khan Academy finding area on a grid,How to find the area of a triangle on a grid | Geometry | 6th grade | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=ukPjc3Oyad4,FOUND
Khan Academy intro to geometric sequences,"Introduction to geometric sequences | Sequences, series and induction | Precalculus | Khan Academy",Khan Academy,https://www.youtube.com/watch?v=pXo0bG4iAyg,FOUND
Khan Academy intro to reflective symmetry lines of symmetry,Function symmetry introduction | Transformations of functions | Algebra 2 | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=4dOQePLgqxE,FOUND
Khan Academy introduction to fractions,Introduction to fractions,Khan Academy,https://www.youtube.com/watch?v=kZzoVCmUyKg,FOUND
Khan Academy introduction to rates unit rates,"Introduction to rates | Ratios, rates, and percentages | 6th grade | Khan Academy",Khan Academy,https://www.youtube.com/watch?v=qGTYSAeLTOE,FOUND
Khan Academy number line movement addition subtraction,Adding and subtracting on number line word problems | Early Math | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=EQrCdEF3vNE,FOUND
Khan Academy order of operations introduction,Introduction to order of operations | Arithmetic properties | Pre-Algebra | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=ClYdw4d4OmA,FOUND
Khan Academy rates work problems two pipes filling,Rate problems,Khan Academy,https://www.youtube.com/watch?v=fpjXtpg_isc,FOUND
Khan Academy solving proportions,Solving a proportion with an unknown variable (example) | 7th grade | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=GO5ajwbFqVQ,FOUND
Khan Academy solving system of 3 equations substitution,Solving linear systems by substitution | Algebra Basics | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=V7H1oUHXPkg,FOUND
Khan Academy triangular numbers patterns,Triangular Numbers | Patterns | MH Grade 5 | Math | Khan Academy,Khan Academy India - English,https://www.youtube.com/watch?v=bx4Z8ZBuXGo,FOUND
Khan Academy why we do same thing both sides simple equation,Why we do the same thing to both sides of equations | Linear equations | Algebra I | Khan Academy,Khan Academy,https://www.youtube.com/watch?v=5FBDqY41GjU,FOUND
Mashup Math distributive property explained,Distributive Property of Multiplication Explained!,Mashup Math,https://www.youtube.com/watch?v=gw893STHN9w,FOUND
Math Antics Adding Subtracting Fractions,Math Antics - Adding and Subtracting Fractions,mathantics,https://www.youtube.com/watch?v=5juto2ze8Lg,FOUND
Math Antics Area composite shapes,Math Antics - Area,mathantics,https://www.youtube.com/watch?v=xCdxURXMdFY,FOUND
Math Antics Basic Probability,Math Antics - Basic Probability,mathantics,https://www.youtube.com/watch?v=KzfWUEJjG18,FOUND
Math Antics Exponents Square Roots,Math Antics - Exponents and Square Roots,mathantics,https://www.youtube.com/watch?v=B4zejSI8zho,FOUND
Math Antics Factors and Multiples,Math Antics - Factoring,mathantics,https://www.youtube.com/watch?v=0NvLtTwnUHs,FOUND
Math Antics Finding a Percent of a Number,Math Antics - Finding A Percent Of A Number,mathantics,https://www.youtube.com/watch?v=rR95Cbcjzus,FOUND
Math Antics Fractions Are Parts,Math Antics - Fractions Are Parts,mathantics,https://www.youtube.com/watch?v=CA9XLJpQp3c,FOUND
Math Antics Least Common Multiple,LCM: Basic Method - Math Antics Extras,mathantics,https://www.youtube.com/watch?v=Nu6AC6X3_E4,FOUND
Math Antics Long Division,Math Antics - Long Division,mathantics,https://www.youtube.com/watch?v=LGqBQrUYua4,FOUND
Math Antics Perimeter,Math Antics - Perimeter,mathantics,https://www.youtube.com/watch?v=AAY1bsazcgM,FOUND
Math Antics Proportions,Math Antics - Proportions,mathantics,https://www.youtube.com/watch?v=USmit5zUGas,FOUND
Math Antics Ratios and Rates,Math Antics - Ratios And Rates,mathantics,https://www.youtube.com/watch?v=RQ2nYUBVvqI,FOUND
Math Antics Solving 2-Step Equations,Algebra Basics: Solving 2-Step Equations - Math Antics,mathantics,https://www.youtube.com/watch?v=LDIiYKYvvdA,FOUND
Math Antics Symmetry,Math Antics - Symmetry,mathantics,https://www.youtube.com/watch?v=QHq3CSoal0I,FOUND
Math Antics What Are Percentages,Math Antics - What Are Percentages?,mathantics,https://www.youtube.com/watch?v=JeVSmq1Nrpw,FOUND
Math Antics What Is Algebra,Algebra Basics: What Is Algebra? - Math Antics,mathantics,https://www.youtube.com/watch?v=NybHckSEQBI,FOUND
Math Antics Working With Parts,Math Antics - Working With Parts,mathantics,https://www.youtube.com/watch?v=qDc_-GTipBk,FOUND
Math Antics arithmetic sequences,Math Antics - Number Patterns,mathantics,https://www.youtube.com/watch?v=vV7C7bXm4VI,FOUND
Math Antics integers number line positive negative,Math Antics - Adding & Subtracting Integers,mathantics,https://www.youtube.com/watch?v=_BgblvF90UE,FOUND
Math with Mr J distributive property 3rd 4th 5th grade,The Distributive Property | Math with Mr. J,Math with Mr. J,https://www.youtube.com/watch?v=TJ2LngtJgXs,FOUND
Math with Mr J divisibility rules,Divisibility Rule for 3 | Math with Mr. J,Math with Mr. J,https://www.youtube.com/watch?v=o9N9rmSaRSc,FOUND
Math with Mr J money word problems,How to Calculate a Discount and Sale Price | Math with Mr. J,Math with Mr. J,https://www.youtube.com/watch?v=5qxX222sLtE,FOUND
Math with Mr J rounding decimals,How to Round Decimals | Math with Mr. J,Math with Mr. J,https://www.youtube.com/watch?v=P7ozJW8LSxw,FOUND
MindYourDecisions SEND MORE MONEY cryptarithmetic,"Only A ""Genius"" Can Solve - Each Letter Is A Number",MindYourDecisions,https://www.youtube.com/watch?v=p5YjV-100Hc,FOUND
NUMBEROCK fractions song for kids,Fractions Song For Kids | 2nd Grade - 3rd Grade,Math Songs by NUMBEROCK,https://www.youtube.com/watch?v=lTce7f6KGE0,FOUND
NUMBEROCK ratios song for kids,Ratios Song | 6th Grade Animated Music Video by NUMBEROCK,Math Songs by NUMBEROCK,https://www.youtube.com/watch?v=zTiw-uP8q5w,FOUND
NUMBEROCK symmetry song for kids,Symmetry Song for Kids | A Day at Symmetry Land | Lines of Symmetry,Math Songs by NUMBEROCK,https://www.youtube.com/watch?v=SJlhywRfvh8,FOUND
Numberphile Fibonacci sequence nature,Fibonacci Mystery - Numberphile,Numberphile,https://www.youtube.com/watch?v=Nu-lW-Ifyec,FOUND
Numberphile painted cube,The Pentomino Puzzle (and Tetris) - Numberphile,Numberphile,https://www.youtube.com/watch?v=wZ1E_CM7MqA,FOUND
Numberphile triangular numbers,343867 and Tetrahedral Numbers - Numberphile,Numberphile,https://www.youtube.com/watch?v=CK3_zarXkw0,FOUND
Organic Chemistry Tutor age word problems,"Age Word Problems In Algebra - Past, Present, Future",The Organic Chemistry Tutor,https://www.youtube.com/watch?v=7x7Hl9ztYbk,FOUND
Organic Chemistry Tutor solving system of equations 3 variables,Solving Systems of Equations With 3 Variables & Word Problems,The Organic Chemistry Tutor,https://www.youtube.com/watch?v=0JQeo0yC9OQ,FOUND
Organic Chemistry Tutor work rate problems pipes,Time and Work Problems - Shortcuts and Tricks,The Organic Chemistry Tutor,https://www.youtube.com/watch?v=zUE59CNlFsI,FOUND
Silly School Songs Order of Operations PEMDAS,The Order of Operations Song (PEMDAS) | Silly School Songs,Silly School Songs,https://www.youtube.com/watch?v=BdgcItiemoY,FOUND
